tweets,compound_score,sentiment
"She fabricated trump prosecution and had no problem that Diddy, an OBVIOUS ABUSER, being found not guilty of charges that were abusive to anyone with a brain. Hell yes this corrupt democrat (apple doesn’t fall too far from the tree) should be investigated. And jailed!!",-0.9327,negative
She's in jail and Diddy did pretty much the same thing and he's going to get away with it. Well I say give him the max on the charges he was found guilty of. If he gets 20 years that's pretty much life for him !,0.5983,positive
"oh, and diddy was not guilty as well. happy sunday.",0.6391,positive
If there was no list then why did Epstein SUPPOSEDLY kill himself and why is she still in jail? It’s all bullshit! Equally guilty on both sides! So much guilt that they’re now lying about it!! Epstein and Diddy sexually assaulting people and zero accountability! Disgusting. We,-0.9801,negative
"Play 🤥, you guilty for knowing. Crying because you didn’t get your way. Freak like Diddy",-0.8074,negative
I don't know why they would be celebrating - rich füçkers don't go to jail but poor ones go nearly every time.,-0.128,negative
They keep switching from diddy to Epstein everytime one is in the public eye it’s hilarious everyone on this app is guilty af of baby killing,-0.6705,negative
Tell us: 1. The Epstein and Diddy connections 2. The true story behind the Vegas shooting 3. The whereabouts of all the missing children 4. Who plotted to assassinate 5. Who’s actually guilty of treason 6. Who’s responsible for crimes against humanity,-0.4215,negative
"AAH U R VERY TRICKY! U SENT THE FEDS AGAINST P. DIDDY SO HE COULD TAKE THE FALL 4 SEX-TRAFFICING BUT AS GOD SAID THE REPUBLICANS R THE SEX-TRAFFICERS OF 300,000 KIDS 🧒 PER YR WE SEE DIDDY NOT GUILTY OF THAT CRIME ALTHOUGH VIOLENT SO NOW EPSTEIN FILES 📂 WILL DISAPPEAR",-0.9128,negative
Well.....they found Diddy not guilty. Really?,0.3252,positive
That’s a bullshit question. They need released and ANYONE on there should go to prison. Trump. Clinton. All of them. This is what is wrong with the world today- fuck the party - who cares if you have money (Diddy). Guilty is guilt. Not if you have money.,-0.9169,negative
Diddy is not guilty and the Epstein Island was never visited by “high profile” people.,0.3252,positive
Diddy not guilty so he doesn’t need to cry about his boo getting locked up.,-0.1945,negative
And we didn’t really expect the corrupt U.S. judicial system to find P. Diddy guilty either ...,-0.4215,negative
"...like if Diddy was found guilty, Trump would pardon him, cause that’s his friend and he went to those white parties. Trump has demonic friends.",0.875,positive
"P- Diddy wasn't guilty of trafficking , he was just transporting 🙄 Epstein didn't have a client list and nobody committed pedophilia at his island. These people must really think the American people are stupid,",0.0083,neutral
Melly rotting in prison waiting for another trial while diddy and Epstein are found not guilty is just crazy,-0.5216,negative
"To be fair, the trial would be in D.C. The only person who would be found guilty would be Trump, even with 0 evidence of any crime committed by him. The cases would be Diddy 2.0. Except Trump, that would be more like E. Jean Carroll 2.0",-0.0276,neutral
If he releases the flight logs and client list from diddy and epstein than yes .. if not hes as guilty as they are of rape and trafficking of children for facilitating it,-0.17,negative
"Diddy's HUGE Legal Victory! 😲 What Happened? I discuss Diddy's legal win! He was found not guilty of RICO and sex trafficking, a major victory. I delve into the implications of the verdict and what it means. DiddyCase pdiddy",0.9319,positive
ITS TIME TO WAKE UP. Diddy not guilty No epstein list tik tok being censored isaac kappy WAKE,0.3859,positive
If Diddy could not be found guilty what makes us think this would have happened?,0.3252,positive
has Diddy been sentenced for his 2 guilty charges?,-0.6124,negative
The whole P. Diddy trial was a sham[e] and our government knows it. Shame on them. P. Diddy is an evil dude....those who support him are just as guilty. nojusticenopeace karma accountabilitynow,-0.8225,negative
"Literally, both Diddy &amp; Epstein were found ""Not Guilty"" in the same week... 😒",0.3252,positive
Diddy was found Not Guilty too? Trump is a fucking moron and so is anyone working under his presidency,-0.2871,negative
"Epstein, Diddy not guilty. No victims. No list. No penalties. It’s a big club and we are not in it. There were victims but no perpetrators. Makes total sense..",0.3936,positive
"Sean Diddy Combs reportedly received a standing ovation from fellow inmates upon his return to a federal jail in Brooklyn after being acquitted of sex trafficking and racketeering, according to his attorney. The hip-hop mogul, 55, was found guilty only on a lesser charge,",-0.2023,negative
WHAT'S NEXT FOR DIDDY? TheView co-hosts share their takeaways from the Sean 'Diddy' Combs trial after he was acquitted of sex trafficking and racketeering charges last week and found guilty of two prostitution charges.,-0.4215,negative
"⚠️So let me get this straight, there was never an epstein list, Diddy is not guilty, Epstein offed himself, tik tok is being censored september. Wake up⚠️ they are laughing at all of us",0.7233,positive
Diddy received standing ovation from fellow inmates after jury found rapper not guilty on RICO charge: lawyer FoxNews. Celebrating thug behavior.....pathetic!,0.7449,positive
"Preople people people, do you really believe this was going to turn out any differently than P. Diddy having his parties &amp; that rigged outcome. What makes you think only Jews are guilty of any of this jazz-Muzzz take 9yr olds, WTFFF©️🤦🏼‍♀️",-0.3818,negative
"Last week, Diddy was cleared of his sex trafficking and racketeering charges, yet found guilty on 2 prostitution counts– a verdict stirring conversation on power and accountability. What does justice look like when fame is in the mix? Click to read more:",0.7096,positive
"I guess everybody on the list lawyered up, Maxwell in jail, Diddy suddenly not guilty, Giuffre passed away recently (no more voice), so nothing can be released. Might as well say a ""releasable"" Client List doesn't exist, they cited collapse of society as legal basis?",0.1857,positive
"Yes he was, without any real evidence. Yet the people that found Trump guilty. Said Diddy was innocent with countless evidence. So really, can we admit the biased.",0.3102,positive
"This will be the down fall of the Administration &amp; the movement. 1. Informant Diddy's case dropped! 2. Epstein's disgusting nonsense thrown under the rug like nothing happened! 3. ' s , , are just as guilty as ppl on the Epstein list!",-0.8061,negative
And equally as stunned if they were expecting a guilty Diddy verdict. S A Mfers,-0.3818,negative
What a bunch of BS. We all know that there is a very deep seeded list that IMO ties back to P. Diddy and that's why his charges are what they are now....it's all smoke and mirrors and both parties are guilty as fuck,-0.6908,negative
"If they got rid of it, then that would’ve been national headlines both parties are in on this. You can’t spend it anyway. This is the biggest scam along with Diddy being not guilty in so many of the charges",-0.1945,negative
"Hopefully the women (and male feminists) who are upset that Diddy basically got off, realize this happened in no small part because they pushed the ""me too"" crap. Diddy is a disgusting criminal and should have been found guilty. Part of the reason he wasn't is backlash to metoo",-0.9231,negative
"RP • A federal jury reached a mixed verdict in Sean “Diddy” Combs’ trial: • Not guilty of racketeering conspiracy (Count 1) • Not guilty of sex trafficking by force, fraud, or coercion related to Ventura (Count 2) • Guilty of transporting Cassie Ventura....",-0.6526,negative
So Jeffery Epstein and Diddy are both “not guilty” of trafficking? In the same week? something is fishy,0.0,neutral
First Diddy is found Not Guilty on all major Sex Trafficking Charges &amp; now the DOJ/FBI state there is no Epstein Client List. Decades of Child Abuse by Elite Perpetrators is being covered up &amp; buried in real time.,-0.8142,negative
They do but for some reason people caught buying these services are never held accountable cough cough Robert Kraft. Like the diddy case I foresee a private trial leading to a predictable guilty verdict of lesser a crime. To keep the public quiet and forget about it,-0.7684,negative
"Great time for Pedo’s and Corruption. Diddy not guilty, Epstein has no clients...🤮🤮 Y’all disgust me bro!",0.1591,positive
Sean 'Diddy' Combs has been found not guilty of sex trafficking and racketeering conspiracy in a mixed verdict. He has been found guilty of transportation to engage in prostitution. DiddyVerdict freediddy DiddyTrial,-0.2187,negative
also another thing how was diddy found NOT guilty? when he had cabinets filled with baby oil... i don’t even own one bottle and he owns like 100????,0.6996,positive
